#Samples,Avg. cos sim with true grad,Avg. pairwise cos sim,Norm,Estimator,K,trial
106,0.7076646089553833,0.5277618169784546,0.2126850187778473,dpg,0,Generator(PCG64)
106,0.7042846083641052,0.5439135432243347,0.19366391003131866,maac,0,Generator(PCG64)
111,0.73795086145401,0.5721404552459717,0.21773919463157654,dpg,0,Generator(PCG64)
111,0.734258234500885,0.5721454620361328,0.18641990423202515,maac,0,Generator(PCG64)
116,0.731243908405304,0.5702923536300659,0.18853408098220825,dpg,0,Generator(PCG64)
116,0.7661347389221191,0.5973876118659973,0.20606251060962677,maac,0,Generator(PCG64)
121,0.7527822256088257,0.5836477279663086,0.18437162041664124,dpg,0,Generator(PCG64)
121,0.7393811941146851,0.5656715035438538,0.1967429518699646,maac,0,Generator(PCG64)
126,0.709300696849823,0.5618647336959839,0.20865273475646973,dpg,0,Generator(PCG64)
126,0.7308323383331299,0.5792920589447021,0.19489246606826782,maac,0,Generator(PCG64)
131,0.7725738286972046,0.6207916736602783,0.2127794325351715,dpg,0,Generator(PCG64)
131,0.7512503862380981,0.5848299860954285,0.20073211193084717,maac,0,Generator(PCG64)
136,0.7625522613525391,0.5971006751060486,0.20779187977313995,dpg,0,Generator(PCG64)
136,0.7440503835678101,0.6233386993408203,0.21162578463554382,maac,0,Generator(PCG64)
141,0.772100031375885,0.6234843134880066,0.19445064663887024,dpg,0,Generator(PCG64)
141,0.7752192616462708,0.6233145594596863,0.20745205879211426,maac,0,Generator(PCG64)
146,0.7730454206466675,0.6340070366859436,0.19210653007030487,dpg,0,Generator(PCG64)
146,0.759722113609314,0.6115554571151733,0.21124699711799622,maac,0,Generator(PCG64)
151,0.7155426740646362,0.623075544834137,0.18553122878074646,dpg,0,Generator(PCG64)
151,0.7804651856422424,0.6321759819984436,0.19770865142345428,maac,0,Generator(PCG64)
156,0.7817426919937134,0.6412798762321472,0.17839564383029938,dpg,0,Generator(PCG64)
156,0.7661561369895935,0.6309457421302795,0.19103151559829712,maac,0,Generator(PCG64)
161,0.7822595834732056,0.659248948097229,0.1827562153339386,dpg,0,Generator(PCG64)
161,0.8053379058837891,0.6821106672286987,0.19641822576522827,maac,0,Generator(PCG64)
166,0.7873505353927612,0.6667622923851013,0.19224245846271515,dpg,0,Generator(PCG64)
166,0.7877997756004333,0.6521698236465454,0.18972785770893097,maac,0,Generator(PCG64)
171,0.7863443493843079,0.6724532246589661,0.1847713440656662,dpg,0,Generator(PCG64)
171,0.8004695773124695,0.6717633605003357,0.18786653876304626,maac,0,Generator(PCG64)
176,0.8169442415237427,0.7080134749412537,0.20534829795360565,dpg,0,Generator(PCG64)
176,0.7938426733016968,0.6604071855545044,0.19882526993751526,maac,0,Generator(PCG64)
181,0.8070462346076965,0.6814607977867126,0.1888294368982315,dpg,0,Generator(PCG64)
181,0.8000693321228027,0.6923664808273315,0.19720688462257385,maac,0,Generator(PCG64)
186,0.8028267025947571,0.6826581954956055,0.18347856402397156,dpg,0,Generator(PCG64)
186,0.8103009462356567,0.705321729183197,0.17344659566879272,maac,0,Generator(PCG64)
191,0.8022236824035645,0.6803748607635498,0.2024718075990677,dpg,0,Generator(PCG64)
191,0.8318927884101868,0.7383737564086914,0.21107085049152374,maac,0,Generator(PCG64)
196,0.8096227645874023,0.7008358836174011,0.1862921267747879,dpg,0,Generator(PCG64)
196,0.8308256268501282,0.7246217727661133,0.18617701530456543,maac,0,Generator(PCG64)
201,0.8245781064033508,0.7157304286956787,0.19519415497779846,dpg,0,Generator(PCG64)
201,0.7925359606742859,0.6729084253311157,0.19155755639076233,maac,0,Generator(PCG64)
206,0.8041510581970215,0.7196126580238342,0.18338900804519653,dpg,0,Generator(PCG64)
206,0.7898486852645874,0.672633171081543,0.1806291937828064,maac,0,Generator(PCG64)
211,0.8154491186141968,0.7026181221008301,0.17978274822235107,dpg,0,Generator(PCG64)
211,0.8174951672554016,0.706836998462677,0.18342845141887665,maac,0,Generator(PCG64)
216,0.8212165832519531,0.7047320604324341,0.1807858943939209,dpg,0,Generator(PCG64)
216,0.8142136335372925,0.6838144659996033,0.19248685240745544,maac,0,Generator(PCG64)
221,0.8247793316841125,0.7016903162002563,0.18384140729904175,dpg,0,Generator(PCG64)
221,0.8080680966377258,0.6976370215415955,0.1842575967311859,maac,0,Generator(PCG64)
226,0.8500716090202332,0.7748668193817139,0.18584339320659637,dpg,0,Generator(PCG64)
226,0.787719190120697,0.6956787705421448,0.18088479340076447,maac,0,Generator(PCG64)
231,0.8354344367980957,0.7453948855400085,0.17823703587055206,dpg,0,Generator(PCG64)
231,0.8324161767959595,0.7240513563156128,0.1818501502275467,maac,0,Generator(PCG64)
