#Samples,Avg. cos sim with true grad,Avg. pairwise cos sim,Norm,Estimator,K,trial
307,0.9733046293258667,0.9546289443969727,65.94388580322266,maac,2,Generator(PCG64)
312,0.9098149538040161,0.846346378326416,24.415294647216797,dpg,2,Generator(PCG64)
312,0.9708422422409058,0.9492869973182678,66.10954284667969,maac,2,Generator(PCG64)
317,0.9105860590934753,0.8516997694969177,23.261497497558594,dpg,2,Generator(PCG64)
317,0.9714784622192383,0.9504362940788269,66.36250305175781,maac,2,Generator(PCG64)
322,0.9030264019966125,0.8409164547920227,23.71932601928711,dpg,2,Generator(PCG64)
322,0.9683860540390015,0.946115255355835,65.12361145019531,maac,2,Generator(PCG64)
327,0.8962036967277527,0.8294214606285095,23.332067489624023,dpg,2,Generator(PCG64)
327,0.9724076986312866,0.9500933289527893,68.2813720703125,maac,2,Generator(PCG64)
332,0.915014386177063,0.8473761081695557,23.938655853271484,dpg,2,Generator(PCG64)
332,0.9731770753860474,0.9581848978996277,61.744728088378906,maac,2,Generator(PCG64)
337,0.9015887975692749,0.827296793460846,23.180479049682617,dpg,2,Generator(PCG64)
337,0.9705986976623535,0.9495044946670532,67.6221694946289,maac,2,Generator(PCG64)
342,0.8990969657897949,0.8289725184440613,22.333986282348633,dpg,2,Generator(PCG64)
342,0.9734352231025696,0.9558252692222595,69.084228515625,maac,2,Generator(PCG64)
347,0.9263142347335815,0.8737086653709412,22.826683044433594,dpg,2,Generator(PCG64)
347,0.9738377332687378,0.9557981491088867,65.09928894042969,maac,2,Generator(PCG64)
352,0.9070813059806824,0.8559219241142273,23.36062240600586,dpg,2,Generator(PCG64)
352,0.9731556177139282,0.9554194211959839,70.36146545410156,maac,2,Generator(PCG64)
357,0.9152005314826965,0.8551134467124939,21.548675537109375,dpg,2,Generator(PCG64)
357,0.9747212529182434,0.9615150690078735,66.30513000488281,maac,2,Generator(PCG64)
362,0.9227210879325867,0.8677546977996826,22.96677017211914,dpg,2,Generator(PCG64)
362,0.9784907102584839,0.9628245830535889,63.80364990234375,maac,2,Generator(PCG64)
367,0.9056557416915894,0.8407136797904968,23.81691551208496,dpg,2,Generator(PCG64)
367,0.9712146520614624,0.946606457233429,67.77934265136719,maac,2,Generator(PCG64)
372,0.9210186004638672,0.8641124963760376,22.34804916381836,dpg,2,Generator(PCG64)
372,0.977357029914856,0.9648684859275818,66.51891326904297,maac,2,Generator(PCG64)
377,0.9092400670051575,0.8456639647483826,22.576297760009766,dpg,2,Generator(PCG64)
377,0.9730733633041382,0.9592102766036987,64.97359466552734,maac,2,Generator(PCG64)
382,0.9207907915115356,0.8612685203552246,23.35788345336914,dpg,2,Generator(PCG64)
382,0.970894992351532,0.9513019323348999,68.04292297363281,maac,2,Generator(PCG64)
387,0.9354464411735535,0.8946608901023865,23.168004989624023,dpg,2,Generator(PCG64)
387,0.9719859957695007,0.9565527439117432,65.965087890625,maac,2,Generator(PCG64)
392,0.9149249196052551,0.851729691028595,23.196001052856445,dpg,2,Generator(PCG64)
392,0.9732633829116821,0.956676721572876,65.37371826171875,maac,2,Generator(PCG64)
397,0.9221203923225403,0.8817212581634521,23.14818000793457,dpg,2,Generator(PCG64)
397,0.9773105382919312,0.964197039604187,66.63813781738281,maac,2,Generator(PCG64)
402,0.9166005253791809,0.8626843094825745,23.055538177490234,dpg,2,Generator(PCG64)
402,0.9738237261772156,0.9567100405693054,64.20731353759766,maac,2,Generator(PCG64)
407,0.9129503965377808,0.8558716773986816,22.74618148803711,dpg,2,Generator(PCG64)
